state_name,gop_votes,dem_votes,total_votes,diff,pct_gop,pct_dem,state_abb,med_age,total_pop,race_white,race_black_afam,race_am_indian,race_asian,race_hawaiian_pi,race_other,race_two_plus,born_in_state,male_age_married,fem_age_married,hs_diploma,associate_degree,bachelors_degree,masters_degree,prof_degree,doctorate_degree,med_income,internet_any,internet_dialup,internet_broadband,pct_bach_higher,pct_broadband,pct_born_in_state,pct_white,min_wage_2020,mask_fines,paid_sick_leave,medicaid_expansion,gov_party,Region
Alabama,1441168,849648,2323304,591520,0.6203096968799606,0.36570676932506463,AL,39,4876250,3320247,1299048,25565,66270,70662,92220,6933,3391211,28.5,26.7,841716,282316,529178,230528,50270,35796,50536,1435126,8072,1427054,0.17344721866188156,0.2926539861573955,0.6954547039220713,0.6809017175083312,NA,0,0,0,republican,South
Alaska,189892,153405,391346,36487,0.48522790574070007,0.39199327449367055,AK,34.3,737068,476015,24205,109751,45920,11308,60665,3011,307963,29.2,26.4,108797,41109,88058,37958,10373,5630,77640,217721,1012,216709,0.19268100093885504,0.29401493484997315,0.4178216935208149,0.6458223664573689,Greater than federal,1,0,1,republican,West
Arizona,1661686,1672143,3387326,-10457,0.4905598103046474,0.4936469061436662,AZ,37.7,7050299,5444453,317462,317414,233213,460262,263037,50674,2790603,29.9,27.8,940168,408312,869452,378467,86371,60236,58945,2170445,8771,2161674,0.19779671755765252,0.3066074218979933,0.3958134257852043,0.7722300855609102,Greater than federal,0,1,1,republican,West
Arkansas,760647,423932,1219069,336715,0.6239572985614432,0.34775061953014963,AR,38.1,2999370,2301044,459542,20434,45504,83576,80537,7658,1832181,27.2,25.7,559816,143979,297250,119000,27707,19279,47597,851047,5081,845966,0.1544444333309995,0.28204789672497893,0.6108552796087179,0.7671757735791183,Greater than federal,1,0,1,republican,South
California,6005961,11109764,17495906,-5103803,0.3432780788831399,0.6349922090345022,CA,36.5,39283497,23453222,2274108,303998,5692423,5481792,1922664,414894,21817639,30.8,29,4813250,2073823,5603047,2294771,645797,437111,75235,11341025,37461,11303564,0.22861320111088887,0.28774332386956286,0.5553894298157824,0.597024801534344,Greater than federal,0,1,1,democrat,West
Colorado,1364607,1804352,3256953,-439745,0.4189827117554352,0.5540000116673468,CO,36.7,5610349,4712574,233647,54847,178147,216767,205724,33882,2378061,29.7,27.7,667781,321903,981017,428252,90525,65340,72331,1891255,8135,1883120,0.2789726628414739,0.33565113328956897,0.42387042232132083,0.8399787606795941,Greater than federal,0,0,1,democrat,West
Connecticut,715291,1080680,1824280,-365389,0.3920949634924463,0.5923871335540597,CT,41,3575074,2714031,383416,9955,161257,186292,119000,25143,1951675,31.1,29.5,588032,191964,541380,315473,76404,42208,78444,1177430,5086,1172344,0.2728516948180653,0.3279216038605075,0.545911776931051,0.7591537965367989,Greater than federal,0,1,1,democrat,Northeast
Delaware,200603,296268,504010,-95665,0.39801392829507354,0.5878216702049562,DE,40.6,957248,658237,212302,3729,37009,18350,27079,3059,427299,30.4,29,187323,52636,124632,64883,12849,11774,68287,309672,1020,308652,0.22370169485859465,0.3224368188807916,0.44638275556595575,0.6876347613157718,Greater than federal,1,0,1,democrat,South
District of Columbia,18586,317323,344356,-298737,0.05397321376714795,0.9214969392140692,DC,34,692683,285857,320811,2091,27592,34511,21445,3037,256185,30.9,30.6,70065,14792,122380,104526,41447,20906,86420,235534,564,234970,0.41759217419800976,0.3392172176883221,0.3698445031854398,0.412680836688644,Greater than federal,1,1,1,NA,South
Florida,5668731,5297045,11067456,371686,0.5121981962250404,0.47861450725442234,FL,42,20901636,15702256,3359031,59320,571276,625079,572021,95083,7486782,30.7,28.9,3647514,1468744,2827938,1138820,328745,176198,55660,6444568,24324,6420244,0.21394023893632055,0.30716466404830706,0.3581911961341208,0.7512453092188573,Greater than federal,0,0,0,republican,South
Georgia,2461854,2473633,4997716,-11779,0.49259581776955713,0.4949526943907977,GA,36.7,10403847,6098889,3289020,37440,414481,291872,265912,39023,5686457,29.5,27.7,1582994,538144,1324801,590536,149171,93108,58700,3066661,9442,3057219,0.20738636390942697,0.2938546674129291,0.5465725322565778,0.5862147915093331,Less than federal,0,0,0,republican,South
Hawaii,196864,366130,574469,-169266,0.3426886394217965,0.6373363923901899,HI,39.1,1422094,354847,26025,3710,537355,17433,339727,9194,755137,29.3,28.4,247978,106509,215777,74614,22900,14175,81275,390983,1423,389560,0.2302702915559731,0.2739340718686669,0.5310035764161862,0.24952429304954524,Greater than federal,1,0,1,democrat,West
Idaho,554118,287021,868105,267097,0.6383075780003571,0.33062935935169135,ID,36.4,1717750,1545409,11918,23136,24287,59676,50569,7968,808006,27,25.4,246382,109602,207179,69784,16921,13653,55785,524892,3855,521037,0.17903478387425412,0.3033252801630039,0.47038626109736575,0.8996704991995342,Equal to federal,0,0,1,republican,West
Illinois,2446891,3471915,6038850,-1025024,0.4051915513715359,0.5749298293549269,IL,38.1,12770631,9134903,1813590,33460,698524,757231,328446,62705,8566941,30.5,28.9,1941914,700533,1831438,862440,199455,116692,65886,4025820,17626,4008194,0.2356990034400023,0.3138602939823412,0.670831456957765,0.7153055318879702,Greater than federal,1,0,1,democrat,Midwest
Indiana,1729852,1242495,3033198,487357,0.5703063235568532,0.4096320121535093,IN,37.7,6665703,5553391,626587,15782,151979,145747,169711,21981,4539360,29,27,1249644,387910,749078,311229,64915,46934,56303,2071909,12358,2059551,0.17584881894677876,0.3089773126705465,0.6810024389025434,0.8331290788083417,Equal to federal,0,0,1,republican,Midwest
Iowa,897672,759061,1690871,138611,0.5308932496920227,0.44891715571442176,IA,38.2,3139508,2826070,116359,11976,75741,39048,66585,5683,2202699,28.4,26.6,565444,242125,403801,135213,34033,24784,60523,1030620,8132,1022488,0.19042187501990757,0.32568415178429233,0.7016064300520973,0.9001633376949509,Equal to federal,0,0,1,republican,Midwest
Kansas,758100,558669,1349567,199431,0.5617357270887625,0.413961663259401,KS,36.7,2910652,2455935,170291,24010,85794,71683,100557,8964,1721730,27.8,26.1,416403,165119,400938,173172,37218,23742,59597,928405,4381,924024,0.21818822724255596,0.31746289147586176,0.5915272591845401,0.8437748655627674,Equal to federal,0,0,0,democrat,Midwest
Kentucky,1326646,772474,2136768,554172,0.6208657186929044,0.3615151481115404,KY,38.9,4449052,3868479,358928,9386,65191,43601,100285,8650,3067240,28.1,26.4,792393,251136,428846,216508,55258,30470,50589,1367437,7033,1360404,0.16432309624612165,0.30577390419352257,0.6894142842115579,0.8695063577589114,Equal to federal,0,0,1,democrat,South
Louisiana,1255776,856034,2148062,399742,0.5846088241400853,0.39851456801526214,LA,36.9,4664362,2892275,1502963,26361,80806,65592,94959,8371,3640441,29.7,27.9,893660,194127,490514,180464,53075,29532,49469,1317971,5049,1312922,0.16156228869028605,0.2814794392030464,0.7804799455959893,0.6200794449487411,NA,1,0,1,democrat,South
Maine,359899,430473,813740,-70574,0.4422776316759653,0.5290055791776243,ME,44.7,1335492,1259522,18468,8660,15109,3541,29796,1467,836953,29.7,27.8,259470,97905,194761,82129,19771,13227,57918,464008,4437,459571,0.2320403267110548,0.3441211179101035,0.6267001225016698,0.9431145974667016,Greater than federal,1,0,1,democrat,Northeast
Maryland,976414,1985023,3037030,-1008609,0.32150291567748757,0.6536066486007711,MD,38.7,6018848,3343003,1799094,16762,378126,272137,206692,23109,2846183,30.5,29.1,890361,277837,891511,535947,126397,108869,84805,1911957,6364,1905593,0.2762528643355007,0.3166042737746492,0.4728783647634896,0.5554223997681949,Greater than federal,1,1,1,republican,South
Massachusetts,1167202,2382202,3631402,-1215000,0.3214191103050557,0.6560006300596849,MA,39.5,6850553,5348538,522357,14764,452436,286619,223035,35324,4133130,31,29.9,1014308,363665,1151870,656508,145317,135370,81215,2268472,7215,2261257,0.30494837424073645,0.3300838633027144,0.6033279357155547,0.7807454376310934,Greater than federal,1,1,1,republican,Northeast
Michigan,2649852,2804040,5539302,-154188,0.4783729069113762,0.5062081829082437,MI,39.7,9965265,7813755,1374314,53316,311721,117801,291259,26495,7606763,30,28.1,1695368,643446,1207829,575818,120906,80617,57144,3224655,15818,3208837,0.19920895229579944,0.3220021745533109,0.7633277188313607,0.7840990681130908,Greater than federal,1,1,1,democrat,Midwest
Minnesota,1484065,1717077,3277171,-233012,0.4528494240916937,0.5239509930974001,MN,38,5563378,4609049,356515,58011,268181,104032,165396,14838,3760758,29.7,27.8,812779,431425,892893,327716,83373,55185,71306,1865675,12296,1853379,0.24430606728502,0.333139146755802,0.6759846266063532,0.8284623119263153,Greater than federal,0,0,1,democrat,Midwest
Mississippi,756764,539398,1315178,217366,0.5754080436260339,0.41013307704356367,MS,37.5,2984418,1743217,1125623,14269,29605,30728,40296,3103,2135968,28.8,26.9,477712,192866,269736,118193,27801,19423,45081,793784,3747,790037,0.14580832845801092,0.26472062559601234,0.7157067140058798,0.5841061808365986,NA,0,0,0,republican,South
Missouri,1718736,1253014,3025962,465722,0.5679965577888949,0.4140878173618836,MO,38.6,6104910,5015904,701334,27084,120654,71335,160368,10895,4028566,28.5,26.9,1080715,328720,745843,340251,74401,52067,55461,1947235,10447,1936788,0.1986207822883548,0.3172508685631729,0.6598894987804897,0.8216180091106994,Greater than federal,0,0,0,republican,Midwest
Montana,343602,244786,605750,98816,0.5672340074288073,0.4041040033016921,MT,39.9,1050649,930204,5303,66839,8259,7076,32161,1827,565445,29.1,26.4,175082,66951,155230,52801,14133,9505,54970,348515,3353,345162,0.22050085233032157,0.3285226559964365,0.5381863971697494,0.8853613338041534,Greater than federal,0,0,1,republican,West
Nebraska,556846,374583,956379,182263,0.5822440685125876,0.391667947539626,NE,36.5,1914571,1666871,92406,17673,45655,40253,50386,5104,1238144,28.2,26.4,283407,132185,262614,96921,22846,16844,61439,636709,3847,632862,0.20851929753453907,0.33055029037836675,0.6466952648922396,0.8706237585338961,Greater than federal,0,0,1,republican,Midwest
